condition,algorithm,ae,wur,coverage,cf_transitions
clean,immediate,0.16863054351512008,0.005471067797932716,0.6666666666666666,0.0
clean,pe_seq,0.38692572746374465,0.4449129455639809,1.0,0.0
clean,cf_only,0.0,0.1750866232748369,1.0,389.64444444444445
clean,full_rfl,0.18680257378735057,0.32786731094049565,1.0,93.88888888888889
clean,oracle_upper,0.0,0.1750866232748369,1.0,0.0
symmetric,immediate,0.5064080377475239,0.39952901712477135,0.6444444444444445,0.0
symmetric,pe_seq,0.4518842945511113,0.488827270804634,1.0,0.0
symmetric,cf_only,0.0,0.1750866232748369,1.0,389.64444444444445
symmetric,full_rfl,0.1998303836989568,0.32640946271742327,1.0,100.94444444444444
symmetric,oracle_upper,0.0,0.1750866232748369,1.0,0.0
clean,immediate,0.1682646560950771,0.004922236667868257,0.6666666666666666,0.0
clean,pe_seq,0.38701031532131314,0.44459879201367414,1.0,0.0
clean,cf_only,0.0,0.17448250119842668,1.0,389.7
clean,full_rfl,0.18713200108598174,0.3277177911165726,1.0,93.83333333333333
clean,oracle_upper,0.0,0.17448250119842668,1.0,0.0
symmetric,immediate,0.45550073830430116,0.3705673829225794,0.7222222222222222,0.0
symmetric,pe_seq,0.45666629562151595,0.505047993973861,1.0,0.0
symmetric,cf_only,0.0,0.17448250119842668,1.0,389.7
symmetric,full_rfl,0.19702966225951019,0.3286399919189324,1.0,96.5111111111111
symmetric,oracle_upper,0.0,0.17448250119842668,1.0,0.0
clean,immediate,0.170683232546318,0.008546631280453609,0.6666666666666666,0.0
clean,pe_seq,0.38880215597498924,0.44940995084923663,1.0,0.0
clean,cf_only,0.0,0.17855513479617333,1.0,386.6
clean,full_rfl,0.1860218149219129,0.322253601585933,1.0,88.95555555555555
clean,oracle_upper,0.0,0.17855513479617333,1.0,0.0
symmetric,immediate,0.44597426501950427,0.3494351580710852,0.7222222222222222,0.0
symmetric,pe_seq,0.4612068119993168,0.4973378114852258,1.0,0.0
symmetric,cf_only,0.0,0.17855513479617333,1.0,386.6
symmetric,full_rfl,0.19683421421208452,0.3226179099041206,1.0,91.82222222222222
symmetric,oracle_upper,0.0,0.17855513479617333,1.0,0.0
clean,immediate,0.16939782440888076,0.006703544764040387,0.6666666666666666,0.0
clean,pe_seq,0.38918860656800697,0.44833394246909536,1.0,0.0
clean,cf_only,0.0,0.17626107819966544,1.0,387.3333333333333
clean,full_rfl,0.18618241835827495,0.32497101541988915,1.0,91.53333333333333
clean,oracle_upper,0.0,0.17626107819966544,1.0,0.0
symmetric,immediate,0.4193868562137734,0.28560631438545525,0.6555555555555556,0.0
symmetric,pe_seq,0.47016133148787576,0.5083187791063661,1.0,0.0
symmetric,cf_only,0.0,0.17626107819966544,1.0,387.3333333333333
symmetric,full_rfl,0.19610355968893553,0.3202957492356955,1.0,90.44444444444444
symmetric,oracle_upper,0.0,0.17626107819966544,1.0,0.0
clean,immediate,0.16850921969002103,0.0052890820602841115,0.6666666666666666,0.0
clean,pe_seq,0.38761721674098387,0.44521905152590263,1.0,0.0
clean,cf_only,0.0,0.17484662512933535,1.0,389.52222222222224
clean,full_rfl,0.18698466097462413,0.32798214801669956,1.0,93.88888888888889
clean,oracle_upper,0.0,0.17484662512933535,1.0,0.0
symmetric,immediate,0.5324163270373616,0.4411930380985863,0.6555555555555556,0.0
symmetric,pe_seq,0.45438298295312635,0.4958555644172038,1.0,0.0
symmetric,cf_only,0.0,0.17484662512933535,1.0,389.52222222222224
symmetric,full_rfl,0.19992896806358804,0.32083073537304624,1.0,83.22222222222223
symmetric,oracle_upper,0.0,0.17484662512933535,1.0,0.0
clean,immediate,0.16981635150464286,0.007249779782216886,0.6666666666666666,0.0
clean,pe_seq,0.38996324820847833,0.4498371272493525,1.0,0.0
clean,cf_only,0.0,0.17691447434846655,1.0,388.1222222222222
clean,full_rfl,0.18682337291469583,0.3290437455632074,1.0,95.17777777777778
clean,oracle_upper,0.0,0.17691447434846655,1.0,0.0
symmetric,immediate,0.516582786927664,0.43597459373916975,0.6777777777777778,0.0
symmetric,pe_seq,0.4602314586123975,0.5046170207563889,1.0,0.0
symmetric,cf_only,0.0,0.17691447434846655,1.0,388.1222222222222
symmetric,full_rfl,0.19880559759585062,0.3259242096446618,1.0,88.87777777777778
symmetric,oracle_upper,0.0,0.17691447434846655,1.0,0.0
clean,immediate,0.1705987064784646,0.008423312242949437,0.6666666666666666,0.0
clean,pe_seq,0.38896638737407213,0.44960455604413724,1.0,0.0
clean,cf_only,0.0,0.17818211837694942,1.0,388.2888888888889
clean,full_rfl,0.1866246583099807,0.33005650653571095,1.0,94.22222222222223
clean,oracle_upper,0.0,0.17818211837694942,1.0,0.0
symmetric,immediate,0.5342847509691879,0.46441339625581035,0.7333333333333333,0.0
symmetric,pe_seq,0.4633204218653114,0.5119810094890943,1.0,0.0
symmetric,cf_only,0.0,0.17818211837694942,1.0,388.2888888888889
symmetric,full_rfl,0.1960098873103292,0.3260939272582563,1.0,94.07777777777778
symmetric,oracle_upper,0.0,0.17818211837694942,1.0,0.0
clean,immediate,0.1696127223861308,0.006944336104448767,0.6666666666666666,0.0
clean,pe_seq,0.39090261557358164,0.44987126560753005,1.0,0.0
clean,cf_only,0.0,0.17630526034291996,1.0,387.7111111111111
clean,full_rfl,0.18642255157587456,0.32894232612696855,1.0,94.75555555555556
clean,oracle_upper,0.0,0.17630526034291996,1.0,0.0
symmetric,immediate,0.46780166259058137,0.33952472518271065,0.6777777777777778,0.0
symmetric,pe_seq,0.4621597995875561,0.5003323673162523,1.0,0.0
symmetric,cf_only,0.0,0.17630526034291996,1.0,387.7111111111111
symmetric,full_rfl,0.2063449361437034,0.32951986963674484,1.0,88.67777777777778
symmetric,oracle_upper,0.0,0.17630526034291996,1.0,0.0
clean,immediate,0.1695760129397494,0.006888404418807637,0.6666666666666666,0.0
clean,pe_seq,0.3895381189687855,0.4487070466506132,1.0,0.0
clean,cf_only,0.0,0.1763302552240488,1.0,387.7111111111111
clean,full_rfl,0.1864033561350916,0.32705974200136967,1.0,92.87777777777778
clean,oracle_upper,0.0,0.1763302552240488,1.0,0.0
symmetric,immediate,0.45176090203855274,0.32413615327205336,0.6777777777777778,0.0
symmetric,pe_seq,0.4270529600515146,0.4732036370319135,1.0,0.0
symmetric,cf_only,0.0,0.1763302552240488,1.0,387.7111111111111
symmetric,full_rfl,0.19855453729082043,0.3254379343393925,1.0,93.27777777777777
symmetric,oracle_upper,0.0,0.1763302552240488,1.0,0.0
clean,immediate,0.17132745458284163,0.009597122508912675,0.6666666666666666,0.0
clean,pe_seq,0.3906474276971741,0.4521352502892073,1.0,0.0
clean,cf_only,0.0,0.1794913266076383,1.0,386.2
clean,full_rfl,0.18616227919626932,0.32516004516805386,1.0,90.46666666666667
clean,oracle_upper,0.0,0.1794913266076383,1.0,0.0
symmetric,immediate,0.47274991360779206,0.3738277452691232,0.6888888888888889,0.0
symmetric,pe_seq,0.4730675366163873,0.5267995528113177,1.0,0.0
symmetric,cf_only,0.0,0.1794913266076383,1.0,386.2
symmetric,full_rfl,0.19661379721324382,0.3218982297737355,1.0,94.4888888888889
symmetric,oracle_upper,0.0,0.1794913266076383,1.0,0.0
clean,immediate,0.1709243303678653,0.008910880560981504,0.6666666666666666,0.0
clean,pe_seq,0.3891196979156936,0.4503930277488156,1.0,0.0
clean,cf_only,0.0,0.17902463824858866,1.0,387.84444444444443
clean,full_rfl,0.1868702693397599,0.3279168739846561,1.0,93.88888888888889
clean,oracle_upper,0.0,0.17902463824858866,1.0,0.0
symmetric,immediate,0.49986090556084894,0.34283485195919683,0.5555555555555556,0.0
symmetric,pe_seq,0.43986455665945506,0.489830556204896,1.0,0.0
symmetric,cf_only,0.0,0.17902463824858866,1.0,387.84444444444443
symmetric,full_rfl,0.20085699032052987,0.326805351487174,1.0,91.71111111111111
symmetric,oracle_upper,0.0,0.17902463824858866,1.0,0.0
clean,immediate,0.169696851022546,0.007070529059071584,0.6666666666666666,0.0
clean,pe_seq,0.39024475225595945,0.44937990602818506,1.0,0.0
clean,cf_only,0.0,0.1765647177782335,1.0,387.9555555555556
clean,full_rfl,0.18679966179840343,0.32900817844400926,1.0,94.7
clean,oracle_upper,0.0,0.1765647177782335,1.0,0.0
symmetric,immediate,0.4290573637735183,0.3088342939945297,0.6555555555555556,0.0
symmetric,pe_seq,0.44064204088985887,0.48936957518233826,1.0,0.0
symmetric,cf_only,0.0,0.1765647177782335,1.0,387.9555555555556
symmetric,full_rfl,0.20029219550550878,0.33062050822212025,1.0,96.4888888888889
symmetric,oracle_upper,0.0,0.1765647177782335,1.0,0.0
