comparison_id,endpoint,source,metric,left_algorithm,right_algorithm,right_scale,statistical_unit,primary,status,reason,n_seeds,seeds,mean_left,mean_right,mean_right_unscaled,mean_ratio_left_to_right_unscaled,mean_difference,left_censored_seeds,right_censored_seeds,bootstrap_ci_95,p_sign_flip,holm_adjusted_p,cohens_dz,threshold,rule,decision,note
H-A,ΔAE,A_attribution_symmetric,ae_mean,full_rfl,immediate,1.0,seed,True,complete,,12,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",0.19797453413482838,0.47328148021539357,,,-0.2753069460805651,0,0,"[-0.3045516748173547, -0.2460648294619325]",0.0007,0.0021,-5.056860014081261,-0.08,lower,PASS,PASS: ΔAE <= -0.08 and paired 95% CI < 0
H-U,ΔF1U,A_update,update_f1,full_rfl,immediate,1.0,seed,True,complete,,12,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",0.6108015209752603,0.13017597152624713,,,0.48062554944901326,0,0,"[0.47807158715628845, 0.48423970183015996]",0.0004,0.0016,82.20684301549633,0.1,higher,PASS,PASS: ΔF1U >= +0.10 and paired 95% CI > 0
H-K,"ΔCKD (high protection, H module)",A_update_high_protection,ckd_h,full_rfl,immediate,1.0,seed,True,complete,,12,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",0.012686959174427566,0.1666666663888889,,,-0.1539797072144613,0,0,"[-0.1540321554704238, -0.15392725895849887]",0.0007,0.0021,-1526.645874965794,-0.1,lower,PASS,PASS: high-level CKD Δ <= -0.10 and paired 95% CI < 0
H-L,RecoveryEpisodes (Full - 0.8×Immediate),B_transfer,recovery_episode,full_rfl,immediate,0.8,seed,True,complete,,12,"[""2100000"", ""2100001"", ""2100002"", ""2100003"", ""2100004"", ""2100005"", ""2100006"", ""2100007"", ""2100008"", ""2100009"", ""2100010"", ""2100011""]",469.6666666666667,400.8,501.0,0.9374584165003327,68.86666666666667,11,12,"[6.199999999999989, 100.2]",0.0321,0.0321,0.6344710936945569,0.0,recovery_20pct,FAIL,PASS: Full-RFL is at least 20% faster and the paired CI supports that direction
A-attribution-WUR,WUR,A_attribution_symmetric,wur_mean,full_rfl,immediate,1.0,seed,False,complete,,12,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",0.32628653405787106,0.3418203648496612,,,-0.015533830791790123,0,0,"[-0.04830880442691186, 0.019723958890618565]",0.4099,,-0.2460290974579067,,,descriptive,
A-attribution-CF-cost,CF cost,A_attribution_symmetric,cf_transitions_mean,full_rfl,cf_only,1.0,seed,False,complete,,12,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",92.57685185185186,387.8527777777777,,,-295.27592592592595,0,0,"[-296.63708333333335, -293.8898148148148]",0.0003,,-116.03657935092808,,,descriptive,
A-update-precision,Update precision,A_update,update_precision,,,,seed,False,invalid_input,"A_update: unaligned shock scenarios for seed=0, full_rfl vs immediate",0,[],,,,,,,,,,,,,,not_assessed,
A-update-recall,Update recall,A_update,update_recall,full_rfl,immediate,1.0,seed,False,complete,,12,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",0.5982704647465277,0.13018084595196605,,,0.4680896187945616,0,0,"[0.46612867065676, 0.47099740273482554]",0.0006,,99.9514717132461,,,descriptive,
A-update-WKR,WKR,A_update,wrong_knowledge_reinforcement,full_rfl,immediate,1.0,seed,False,complete,,12,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",0.024838343938474266,0.10456766376326604,,,-0.0797293198247918,0,0,"[-0.07993277453571565, -0.079415962385202]",0.0003,,-156.18081373212337,,,descriptive,
A-update-CF-cost,CF cost,A_update,cf_transitions,full_rfl,cf_only,1.0,seed,False,complete,,12,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",84.82708333333333,329.15208333333334,,,-244.32500000000002,0,0,"[-246.36046875, -242.4166666666667]",0.0003,,-66.9346452248099,,,descriptive,
