run_id,seed_idx,condition,algorithm,n_scenarios,ae_mean,ae_sd,wur_mean,wur_sd,coverage,wrong_update_rate,ffcr,abstention_rate,cf_transitions_mean,n_false_feedback
A-v02_attribution-20260830-192136,0,clean,immediate,15,0.16936231835520604,0.23838481380958218,0.006568730058061634,0.007673190344769278,0.6666666666666666,0.0,,0.0,0.0,0
A-v02_attribution-20260830-192136,0,clean,pe_seq,15,0.405513960075995,0.11848590790344124,0.4632126424256898,0.2167629582530513,1.0,0.3333333333333333,,0.0,0.0,0
A-v02_attribution-20260830-192136,0,clean,cf_only,15,0.0,0.0,0.17629486742765732,0.24084998572288016,1.0,0.3333333333333333,,0.0,389.53333333333336,0
A-v02_attribution-20260830-192136,0,clean,full_rfl,15,0.18375853755325403,0.21684663728919445,0.2956193804229493,0.39450893872342585,1.0,0.3333333333333333,,0.0,70.13333333333334,0
A-v02_attribution-20260830-192136,0,clean,oracle_upper,15,0.0,0.0,0.17629486742765732,0.24084998572288016,1.0,0.3333333333333333,,0.0,0.0,0
A-v02_attribution-20260830-192136,0,symmetric,immediate,15,0.4710458200387077,0.43693747056418086,0.30757883106816264,0.41700866429678884,0.6666666666666666,0.4,1.0,0.0,0.0,7
A-v02_attribution-20260830-192136,0,symmetric,pe_seq,15,0.4454834101362763,0.17323108983483673,0.4938539062028115,0.19941679040580648,1.0,0.5333333333333333,1.0,0.0,0.0,6
A-v02_attribution-20260830-192136,0,symmetric,cf_only,15,0.0,0.0,0.17629486742765732,0.24084998572288016,1.0,0.3333333333333333,0.0,0.0,389.53333333333336,10
A-v02_attribution-20260830-192136,0,symmetric,full_rfl,15,0.2441137453235384,0.254827056883139,0.34157173234382776,0.3970458459478486,1.0,0.4,0.3333333333333333,0.0,61.13333333333333,6
A-v02_attribution-20260830-192136,0,symmetric,oracle_upper,15,0.0,0.0,0.17629486742765732,0.24084998572288016,1.0,0.3333333333333333,0.0,0.0,0.0,6
A-v02_attribution-20260830-192136,1,clean,immediate,15,0.16863437540461163,0.23891927496799617,0.005476815632170007,0.007761729405841391,0.6666666666666666,0.0,,0.0,0.0,0
A-v02_attribution-20260830-192136,1,clean,pe_seq,15,0.3989178951591427,0.1134865285922627,0.45486410330806637,0.2189659454274306,1.0,0.3333333333333333,,0.0,0.0,0
A-v02_attribution-20260830-192136,1,clean,cf_only,15,0.0,0.0,0.17485487855464812,0.2419032040526072,1.0,0.3333333333333333,,0.0,388.8,0
A-v02_attribution-20260830-192136,1,clean,full_rfl,15,0.18347779341078269,0.21660419020609042,0.2928946390080904,0.39409581470074334,1.0,0.3333333333333333,,0.0,69.13333333333334,0
A-v02_attribution-20260830-192136,1,clean,oracle_upper,15,0.0,0.0,0.17485487855464812,0.2419032040526072,1.0,0.3333333333333333,,0.0,0.0,0
A-v02_attribution-20260830-192136,1,symmetric,immediate,15,0.534127314229596,0.4383007644845244,0.3918956920661618,0.4811081674591823,0.6,0.4444444444444444,1.0,0.0,0.0,7
A-v02_attribution-20260830-192136,1,symmetric,pe_seq,15,0.42583542237572336,0.11971397292800404,0.46690355556098984,0.20865367942023527,1.0,0.3333333333333333,0.75,0.0,0.0,4
A-v02_attribution-20260830-192136,1,symmetric,cf_only,15,0.0,0.0,0.17485487855464812,0.2419032040526072,1.0,0.3333333333333333,0.0,0.0,388.8,8
A-v02_attribution-20260830-192136,1,symmetric,full_rfl,15,0.19537560877368673,0.21962853029091933,0.2960248875283911,0.396419980389974,1.0,0.3333333333333333,0.25,0.0,71.8,4
A-v02_attribution-20260830-192136,1,symmetric,oracle_upper,15,0.0,0.0,0.17485487855464812,0.2419032040526072,1.0,0.3333333333333333,0.0,0.0,0.0,10
