condition,algorithm,ae,wur,coverage,cf_transitions
clean,immediate,0.16927190943763643,0.006512937275035846,0.6666666666666666,0.0
clean,pe_seq,0.38805635661312476,0.44711528635461273,1.0,0.0
clean,cf_only,0.0,0.17636754044635508,1.0,387.47777777777776
clean,full_rfl,0.1857013554874787,0.32087465504084695,1.0,88.78888888888889
clean,oracle_upper,0.0,0.17636754044635508,1.0,0.0
symmetric,immediate,0.49633961038023133,0.341113924023152,0.6111111111111112,0.0
symmetric,pe_seq,0.46910252763195365,0.5104799484922383,1.0,0.0
symmetric,cf_only,0.0,0.17636754044635508,1.0,387.47777777777776
symmetric,full_rfl,0.18824663856145396,0.3126417840522384,1.0,89.0111111111111
symmetric,oracle_upper,0.0,0.17636754044635508,1.0,0.0
clean,immediate,0.17072118699165564,0.008605297980598042,0.6666666666666666,0.0
clean,pe_seq,0.3893955665811693,0.4502526275932116,1.0,0.0
clean,cf_only,0.0,0.178420959834359,1.0,387.3222222222222
clean,full_rfl,0.18605391963579818,0.32633178439003346,1.0,91.64444444444445
clean,oracle_upper,0.0,0.178420959834359,1.0,0.0
symmetric,immediate,0.5109533495095413,0.40381729792028576,0.6222222222222222,0.0
symmetric,pe_seq,0.4704654987524927,0.5155607743045661,1.0,0.0
symmetric,cf_only,0.0,0.178420959834359,1.0,387.3222222222222
symmetric,full_rfl,0.19267973316808013,0.3193950079848701,1.0,92.84444444444445
symmetric,oracle_upper,0.0,0.178420959834359,1.0,0.0
clean,immediate,0.16945219482585852,0.006703544764040387,0.6666666666666666,0.0
clean,pe_seq,0.3889085433097673,0.44769755493922203,1.0,0.0
clean,cf_only,0.0,0.17620670778268765,1.0,388.5111111111111
clean,full_rfl,0.18670514870159458,0.3288846838055684,1.0,94.11111111111111
clean,oracle_upper,0.0,0.17620670778268765,1.0,0.0
symmetric,immediate,0.47836581686832963,0.36748981693943555,0.6555555555555556,0.0
symmetric,pe_seq,0.4633076576669046,0.4938774577964699,1.0,0.0
symmetric,cf_only,0.0,0.17620670778268765,1.0,388.5111111111111
symmetric,full_rfl,0.2026662037096523,0.33049961421856,1.0,95.52222222222223
symmetric,oracle_upper,0.0,0.17620670778268765,1.0,0.0
clean,immediate,0.16924406716294474,0.006389618237531675,0.6666666666666666,0.0
clean,pe_seq,0.389269851818945,0.4477131565136123,1.0,0.0
clean,cf_only,0.0,0.1759378402339694,1.0,387.81111111111113
clean,full_rfl,0.1859265251125109,0.32480459257750327,1.0,91.47777777777777
clean,oracle_upper,0.0,0.1759378402339694,1.0,0.0
symmetric,immediate,0.5567062237764593,0.46093853529596435,0.6555555555555556,0.0
symmetric,pe_seq,0.46300047123750876,0.5015499861124655,1.0,0.0
symmetric,cf_only,0.0,0.1759378402339694,1.0,387.81111111111113
symmetric,full_rfl,0.19695525129556143,0.3188136972306663,1.0,88.45555555555555
symmetric,oracle_upper,0.0,0.1759378402339694,1.0,0.0
clean,immediate,0.16851947035953938,0.005303590548492681,0.6666666666666666,0.0
clean,pe_seq,0.3915003955721736,0.4491539419160706,1.0,0.0
clean,cf_only,0.0,0.17426057104945453,1.0,386.53333333333336
clean,full_rfl,0.18719188827313143,0.32600186933800246,1.0,93.41111111111111
clean,oracle_upper,0.0,0.17426057104945453,1.0,0.0
